date,open,high,close,low,volume,amount
2017-12-29,13.47,13.54,13.49,13.39,4265721.0,84010599.0
2017-12-28,13.45,13.73,13.35,13.34,6954581.0,137739903.0
2017-12-27,13.5,13.79,13.61,13.0,8035278.0,157834435.0
2017-12-26,13.71,13.9,13.86,13.69,5205690.0,105217165.0
2017-12-25,14.26,14.26,13.73,13.67,7430278.0,151018565.0
2017-12-22,14.4,14.68,14.34,14.32,4312199.0,91422174.0
2017-12-21,14.49,14.56,14.43,14.12,6762503.0,142146638.0
2017-12-20,15.18,15.18,14.62,14.58,8268500.0,178217010.0
2017-12-19,15.36,15.52,15.19,15.11,6040640.0,135016033.0
2017-12-18,15.59,15.79,15.36,15.22,6892115.0,155517780.0
2017-12-15,15.43,15.93,15.72,15.43,11727167.0,269425295.0
2017-12-14,15.31,15.36,15.22,15.11,4872520.0,108299325.0
2017-12-13,15.26,15.37,15.35,15.16,5269564.0,117693981.0
2017-12-12,15.26,15.44,15.24,15.12,5355986.0,119323930.0
2017-12-11,15.18,15.59,15.44,15.18,8570919.0,192690851.0
2017-12-08,15.07,15.44,15.16,14.95,7852992.0,174945092.0
2017-12-07,14.9,15.13,15.03,14.73,6119969.0,133498643.0
2017-12-06,14.69,14.98,14.98,14.5,6356347.0,137249373.0
2017-12-05,15.25,15.28,14.7,14.48,9017438.0,195517857.0
2017-12-04,14.89,15.51,15.33,14.72,9668724.0,214263527.0
2017-12-01,14.64,15.11,14.9,14.62,6867498.0,150242037.0
2017-11-30,14.73,14.9,14.62,14.51,4808024.0,103316487.0
2017-11-29,14.96,14.97,14.74,14.51,6259950.0,135103610.0
2017-11-28,14.4,15.14,15.04,14.4,6645219.0,143984248.0
2017-11-27,15.04,15.23,14.47,14.41,6570260.0,143071057.0
2017-11-24,15.38,15.69,15.08,15.04,8344728.0,186080886.0
2017-11-23,16.41,16.45,15.48,15.44,14914073.0,347376571.0
2017-11-22,16.91,17.35,16.73,16.49,14155659.0,352009073.0
2017-11-21,16.54,17.04,16.89,16.43,12762936.0,313575757.0
2017-11-20,16.27,16.74,16.72,15.61,11808383.0,279848331.0
2017-11-17,16.74,17.22,16.49,16.32,16069077.0,393532653.0
2017-11-16,16.88,17.41,16.8,16.75,15131471.0,377246279.0
2017-11-15,18.14,18.24,16.72,16.59,22491018.0,570519157.0
2017-11-14,18.8,18.91,18.32,18.29,21081947.0,570631036.0
2017-11-13,17.83,19.0,18.78,17.5,29602614.0,799995151.0
2017-11-10,18.14,18.59,17.84,17.82,17876643.0,474996098.0
2017-11-09,18.06,18.36,18.24,17.85,14760422.0,392500734.0
2017-11-08,18.46,18.7,18.11,18.05,19690951.0,526531291.0
2017-11-07,17.3,18.38,18.36,17.21,24848545.0,651234460.0
2017-11-06,16.98,17.41,17.32,16.75,9847927.0,246832902.0
2017-11-03,17.39,17.87,17.03,16.85,14618106.0,371216278.0
2017-11-02,17.2,18.04,17.58,16.91,19389739.0,498687531.0
2017-11-01,17.23,17.55,17.38,17.02,13360867.0,339294862.0
2017-10-31,16.85,17.37,17.23,16.77,13070738.0,327133321.0
2017-10-30,16.66,17.21,16.99,15.87,17394522.0,422706837.0
2017-10-27,17.32,17.43,16.67,16.65,11877760.0,296700122.0
2017-10-26,17.15,17.56,17.46,17.01,13229469.0,334547233.0
2017-10-25,17.09,17.34,17.24,16.96,11511431.0,288562979.0
2017-10-24,17.26,17.42,17.28,16.87,15938644.0,399966789.0
2017-10-23,18.19,18.45,17.49,17.38,21658545.0,564042845.0
2017-10-20,18.32,18.85,18.46,17.98,21220327.0,570391213.0
2017-10-19,17.95,19.21,18.64,17.78,28572543.0,768192986.0
2017-10-18,17.88,18.25,17.82,17.27,22862708.0,597285829.0
2017-10-17,18.32,18.52,17.63,17.47,30107129.0,792231347.0
2017-10-16,18.94,20.21,19.12,18.92,35166175.0,998870597.0
2017-10-13,21.26,21.26,18.94,17.78,55143480.0,1600148884.0
2017-10-12,19.33,19.33,19.33,19.33,1193131.0,33729813.0
2017-07-31,16.65,18.4,17.57,16.48,45534082.0,1183036244.0
2017-07-28,16.18,17.24,16.73,16.11,36959697.0,901318047.0
2017-07-27,14.6,16.04,16.04,14.06,28796086.0,648558061.0
2017-07-26,14.47,14.74,14.58,14.47,6037548.0,129148655.0
2017-07-25,14.7,14.9,14.55,14.53,7357152.0,157733722.0
2017-07-24,14.7,15.2,14.9,14.5,10403719.0,226387615.0
2017-07-21,15.38,15.99,15.09,14.88,21176717.0,477281185.0
2017-07-20,14.36,15.02,14.64,14.27,12440297.0,268487780.0
2017-07-19,13.95,14.56,14.4,13.69,9379244.0,193823770.0
2017-07-18,13.61,14.15,14.08,13.41,8915325.0,179839678.0
2017-07-17,15.12,15.12,13.95,13.71,12460561.0,261042843.0
2017-07-14,15.18,15.49,15.23,15.05,7648651.0,170662469.0
2017-07-13,15.12,15.35,15.18,14.9,8156174.0,180445179.0
2017-07-12,14.92,15.17,15.13,14.62,11239957.0,245756910.0
2017-07-11,15.27,15.55,14.92,14.89,12104359.0,267611730.0
2017-07-10,15.66,15.94,15.33,15.24,10626162.0,242074618.0
2017-07-07,15.57,16.05,15.77,15.42,12450578.0,286772520.0
2017-07-06,15.69,16.27,15.78,15.52,17362286.0,404202911.0
2017-07-05,15.73,15.85,15.79,15.37,13496657.0,308307275.0
2017-07-04,15.83,16.05,15.88,15.64,12764263.0,296047768.0
2017-07-03,15.56,16.13,16.07,15.19,21067004.0,485528006.0
2017-06-30,15.22,15.78,15.51,15.04,17537235.0,397132863.0
2017-06-29,14.82,16.2,15.35,14.64,23159818.0,523041507.0
2017-06-28,14.59,14.88,14.73,14.38,11098208.0,237986634.0
2017-06-27,14.8,14.87,14.63,14.51,7929184.0,169870367.0
2017-06-26,14.31,14.9,14.79,14.26,13240413.0,284203623.0
2017-06-23,14.08,14.37,14.34,13.73,10964333.0,225366214.0
2017-06-22,14.1,14.99,14.21,14.02,17756134.0,377916168.0
2017-06-21,14.26,14.32,14.11,13.99,7438887.0,153607327.0
